GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
7365,216,1,1024,382,4,873.326117515564
7365,216,2,1024,382,4,985.926215171814
7365,216,4,1024,382,4,1237.36653590202
7365,216,1,1024,382,4,1135.59086298943
7365,216,2,1024,382,4,1129.91990947723
7365,216,4,1024,382,4,1272.55078673363
7365,216,1,1024,382,2,1584.9054620266
7365,216,2,1024,382,2,1770.71958613396
7365,216,4,1024,382,2,2155.82896947861
7365,216,2,1024,382,4,1073.40381193161
7365,216,1,1024,382,4,1023.41858935356
7365,216,4,1024,382,4,1239.01641535759
7365,216,2,1024,382,8,672.816414117813
7365,216,4,1024,382,8,797.040676355362
7365,216,1,1024,382,6,1164.44762945175
7365,216,2,1024,382,12,667.509287595749
7365,216,4,1024,382,16,673.146464824677
7365,216,2,1024,382,16,754.899935007095
7365,216,1,1024,382,8,1511.40173864365
7365,216,4,1024,382,24,757.292915821075
7365,216,4,1024,382,32,882.748165607452
7365,216,1,256,1519,2,1480.54933643341
7365,216,2,256,1519,2,1500.4648578167
7365,216,4,256,1519,2,1734.17318630219
7365,216,1,256,1519,4,794.055371761322
7365,216,2,256,1519,4,780.555679082871
7365,216,2,256,1519,8,429.091201782227
7365,216,1,256,1519,8,609.641492605209
7365,216,4,256,1519,4,916.538017272949
7365,216,2,256,1519,16,330.061389684677
7365,216,1,256,1519,16,609.767290115356
7365,216,4,256,1519,8,507.884647130966
7365,216,4,256,1519,16,319.349510669708
7365,216,1,1024,382,2,1524.38423585892
7365,216,2,1024,382,2,1547.45916843414
7365,216,4,1024,382,2,1705.38476395607
7365,216,1,1024,382,2,1507.49109840393
7365,216,2,1024,382,2,1553.37325835228
7365,216,4,1024,382,2,1689.69591355324
7365,216,1,1024,382,4,856.895311355591
7365,216,2,1024,382,4,846.826318264008
7365,216,1,1024,382,4,822.090223550797
7365,216,4,1024,382,4,923.614739179611
7365,216,2,1024,382,4,872.461953639984
7365,216,4,1024,382,4,920.693170547485
7365,216,1,1024,382,6,630.513636350632
7365,216,2,1024,382,8,504.744428157806
7365,216,1,1024,382,6,634.881761312485
7365,216,2,1024,382,8,539.135185241699
7365,216,4,1024,382,8,539.853221178055
1195,445,2,256,1519,2,2490.11712145805
7365,216,2,1024,382,12,397.047569990158
7365,216,4,1024,382,8,593.862371206284
7365,216,1,1024,382,8,636.986907720566
7365,216,2,1024,382,12,393.891468286514
7365,216,1,1024,382,8,635.848159074783
7365,216,4,1024,382,16,371.441254377365
7365,216,2,1024,382,16,399.324356079102
7365,216,4,1024,382,16,364.699898958206
7365,216,2,1024,382,16,403.125091552734
7365,216,4,1024,382,24,338.705639839172
1195,445,2,256,1519,2,2514.89770245552
7365,216,4,1024,382,24,333.478042125702
7365,216,1,1024,382,2,1506.09681510925
7365,216,4,1024,382,32,350.612978696823
7365,216,4,1024,382,32,398.840188026428
7365,216,2,1024,382,2,1548.49073505402
7365,216,1,1024,382,2,1522.95143461227
7365,216,2,1024,382,2,1557.30725121498
7365,216,4,1024,382,2,1719.39903378487
1195,445,2,256,1519,4,1369.2373020649
7365,216,1,1024,382,4,829.431344747543
7365,216,4,1024,382,2,1707.39527821541
1195,445,2,256,1519,4,1373.97991132736
7365,216,2,1024,382,4,855.563668489456
7365,216,1,1024,382,4,824.649227142334
7365,216,2,1024,382,4,874.756151199341
7365,216,1,1024,382,6,632.008458852768
7365,216,2,1024,382,8,496.456614732742
7365,216,1,1024,382,6,638.632145404816
7365,216,4,1024,382,4,964.433173179626
7365,216,2,1024,382,8,502.536740064621
7365,216,4,1024,382,4,928.016685724258
7365,216,1,1024,382,8,634.57313656807
7365,216,2,1024,382,12,400.171994686127
7365,216,2,1024,382,12,394.907660245895
7365,216,1,1024,382,8,636.39036154747
7365,216,2,1024,382,16,405.785635948181
7365,216,4,1024,382,8,545.86629986763
7365,216,2,1024,382,16,397.859315395355
7365,216,4,1024,382,8,544.704471588135
7365,216,4,1024,382,16,368.606988191605
7365,216,4,1024,382,16,397.906335353851
1195,445,2,256,1519,2,2633.92977666855
7365,216,4,1024,382,24,331.481839418411
7365,216,4,1024,382,24,330.055539131164
7365,216,4,1024,382,32,364.40581202507
7365,216,4,1024,382,32,360.836179256439
1195,445,2,256,1519,2,2640.6229197979
1195,445,2,256,1519,4,1407.97424340248
1195,445,2,256,1519,4,1403.36496782303
1195,445,2,128,3034,2,2491.05971717834
1195,445,2,128,3034,2,2508.78043365478
1195,445,2,128,3034,4,1363.66448545456
1195,445,2,128,3034,4,1367.12188315392
1195,445,2,128,3034,8,902.178849458694
1195,445,2,128,3034,8,907.365671873093
1195,445,2,128,3034,16,899.878269195557
1195,445,2,128,3034,16,904.769278764725
1195,445,2,128,3034,2,2638.02653026581
1195,445,2,128,3034,2,2651.59825277328
1195,445,2,128,3034,4,1398.04626274109
1195,445,2,128,3034,4,1401.182533741
7365,216,1,1024,382,2,1491.16407608986
7365,216,2,1024,382,2,1507.11579394341
7365,216,4,1024,382,2,1630.58731436729
7365,216,1,1024,382,2,1504.97086024284
7365,216,2,1024,382,2,1523.69161295891
1195,445,2,128,3034,8,905.453644275665
7365,216,4,1024,382,2,1639.82246184349
1195,445,2,128,3034,8,906.615347146988
7365,216,1,1024,382,4,826.991859436035
7365,216,2,1024,382,4,835.639013528824
7365,216,4,1024,382,4,889.397870779037
7365,216,1,1024,382,4,875.414855718613
7365,216,2,1024,382,4,874.600508213043
1195,445,2,128,3034,16,910.979447126388
7365,216,4,1024,382,4,897.511580705643
1195,445,2,128,3034,16,910.300034761429
7365,216,2,1024,382,8,528.89164018631
7365,216,1,1024,382,6,626.202828168869
7365,216,2,1024,382,8,482.443968057633
7365,216,1,1024,382,6,623.039172649383
7365,216,4,1024,382,8,527.904848814011
7365,216,4,1024,382,8,598.088241577148
7365,216,2,1024,382,12,377.722693443298
7365,216,2,1024,382,12,378.383249998093
7365,216,1,1024,382,8,633.228137969971
7365,216,4,1024,382,16,365.539900064468
7365,216,2,1024,382,16,422.433685302734
7365,216,1,1024,382,8,630.136790275574
7365,216,4,1024,382,16,351.461821556091
7365,216,2,1024,382,16,378.614862203598
7365,216,4,1024,382,24,324.55254983902
7365,216,4,1024,382,24,325.934849262238
7365,216,4,1024,382,32,330.726320981979
7365,216,1,512,760,2,1442.41630959511
7365,216,4,1024,382,32,349.549074172974
7365,216,2,512,760,2,1449.77407264709
7365,216,1,512,760,2,1444.39694714546
7365,216,2,512,760,2,1453.25455188751
7365,216,4,512,760,2,1594.94790267944
7365,216,4,512,760,2,1570.90814900398
7365,216,1,512,760,4,771.426514148712
7365,216,2,512,760,4,778.236169576645
7365,216,1,512,760,4,766.819390296936
7365,216,2,512,760,4,771.112486839294
7365,216,1,512,760,6,571.433457136154
7365,216,2,512,760,8,453.445296764374
7365,216,4,512,760,4,834.930968284607
7365,216,2,512,760,8,436.183143138886
7365,216,1,512,760,6,572.4415371418
7365,216,4,512,760,4,831.967647314072
7365,216,2,512,760,12,329.356123685837
7365,216,2,512,760,12,329.037618875504
7365,216,1,512,760,8,578.555812835693
7365,216,2,512,760,16,357.835132598877
7365,216,1,512,760,8,578.053297996521
7365,216,4,512,760,8,476.184634923935
7365,216,2,512,760,16,337.549182891846
7365,216,4,512,760,8,473.421559095383
7365,216,4,512,760,16,309.487550497055
7365,216,4,512,760,16,309.201098442078
7365,216,1,256,1519,2,1429.31327986717
7365,216,2,256,1519,2,1442.82193613052
7365,216,4,512,760,24,284.91276216507
7365,216,4,512,760,24,285.279507637024
7365,216,4,512,760,32,299.048548936844
7365,216,4,512,760,32,299.011860609055
7365,216,1,256,1519,2,1431.2559633255
7365,216,2,256,1519,2,1444.82475352287
7365,216,4,256,1519,2,1569.46831893921
7365,216,1,256,1519,4,744.34043431282
7365,216,2,256,1519,4,749.245796680451
7365,216,1,256,1519,4,744.927899360657
7365,216,2,256,1519,4,753.067158699036
7365,216,4,256,1519,2,1549.58136868477
7365,216,1,256,1519,6,557.509425401688
7365,216,2,256,1519,8,412.186099052429
7365,216,2,256,1519,8,419.291923046112
7365,216,1,256,1519,6,560.57262635231
7365,216,2,256,1519,12,315.714424371719
7365,216,2,256,1519,12,313.846111536026
7365,216,4,256,1519,4,808.23853802681
7365,216,1,256,1519,8,559.762486219406
7365,216,2,256,1519,16,318.004760980606
7365,216,1,256,1519,8,559.759001016617
7365,216,4,256,1519,4,808.536193847656
7365,216,2,256,1519,16,317.656087636948
7365,216,4,256,1519,8,456.004771947861
7365,216,4,256,1519,8,453.668472290039
7365,216,2,128,3034,2,1446.70252513886
7365,216,1,128,3034,2,1435.08289647102
7365,216,4,256,1519,16,294.24047088623
7365,216,4,256,1519,16,293.663559913635
7365,216,2,128,3034,2,1442.50527071953
7365,216,4,256,1519,24,288.280342102051
7365,216,1,128,3034,2,1430.15292620659
7365,216,4,256,1519,24,289.430579423904
7365,216,4,128,3034,32,351.71086025238
7365,216,4,128,3034,32,352.75318980217
7365,216,2,128,3034,4,754.308303117752
7365,216,1,128,3034,4,741.435910463333
7365,216,1,128,3034,4,740.891615390778
7365,216,2,128,3034,4,754.75590634346
7365,216,4,128,3034,2,1594.47078561783
7365,216,2,128,3034,8,410.876519203186
7365,216,1,128,3034,6,559.718185663223
7365,216,2,128,3034,8,405.285151958466
7365,216,1,128,3034,6,560.82094502449
7365,216,4,128,3034,2,1590.56901359558
7365,216,2,128,3034,12,363.275083303452
7365,216,2,128,3034,12,359.976542949676
7365,216,1,128,3034,8,564.639927148819
7365,216,2,128,3034,16,371.608823537827
7365,216,1,128,3034,8,565.578093767166
7365,216,2,128,3034,16,370.644582986832
7365,216,4,128,3034,4,812.779856920242
7365,216,4,128,3034,4,816.888619422913
7365,216,4,128,3034,8,443.292312860489
7365,216,4,128,3034,8,447.227816820145
7365,216,4,128,3034,16,351.834065198898
7365,216,4,128,3034,16,343.986135721207
7365,216,4,128,3034,24,351.226128101349
7365,216,4,128,3034,24,344.740528345108
7365,216,4,128,3034,32,359.488840103149
7365,216,4,128,3034,32,361.865475416183
1195,445,2,128,3034,2,2495.04787683487
1195,445,2,128,3034,2,2513.43244171143
1195,445,2,128,3034,4,1357.99702596664
1195,445,2,128,3034,4,1364.06928825378
1195,445,2,128,3034,8,901.930776357651
1195,445,2,128,3034,8,901.854803562164
1195,445,2,128,3034,16,907.648431301117
1195,445,2,128,3034,16,901.548838853836
1195,445,2,64,6067,2,2639.4996945858
1195,445,2,64,6067,2,2666.80959701538
1195,445,2,64,6067,4,1398.04394650459
1195,445,2,64,6067,4,1404.25329661369
1195,445,2,64,6067,8,1170.65927767754
1195,445,2,64,6067,8,1170.22350430489
1195,445,2,64,6067,16,1169.99590826035
1195,445,2,64,6067,16,1172.82986426353
1195,445,2,32,12133,2,2748.65694522858
1195,445,2,32,12133,2,2756.9721801281
1195,445,2,32,12133,4,1673.65475416183
1195,445,2,32,12133,4,1676.97493863106
1195,445,2,32,12133,8,1650.78423333168
1195,445,2,32,12133,8,1652.31479859352
1195,445,2,32,12133,16,1646.23333740234
1195,445,2,32,12133,16,1648.67485308647
1195,445,2,16,24265,2,3003.26154065132
1195,445,2,16,24265,2,3007.55137610435
1195,445,2,16,24265,4,2902.96687173843
1195,445,2,16,24265,4,2901.73658752441
1195,445,2,16,24265,8,2881.19943857193
1195,445,2,16,24265,8,2885.37804460526
1195,445,2,16,24265,16,2887.96258449554
1195,445,2,16,24265,16,2888.99945282936
1195,445,2,128,3034,2,2503.1530342102
1195,445,2,128,3034,2,2507.05572652817
1195,445,2,128,3034,4,1340.51749110222
1195,445,2,128,3034,4,1335.70335125923
1195,445,2,128,3034,8,899.659525632858
1195,445,2,128,3034,8,909.06232047081
1195,445,2,128,3034,16,895.696969509125
1195,445,2,128,3034,16,894.571231126785
1195,445,2,64,6067,2,2507.3616373539
1195,445,2,64,6067,2,2505.33991408348
1195,445,2,64,6067,4,1338.8395857811
1195,445,2,64,6067,4,1339.62808084488
1195,445,2,64,6067,8,1165.59482741356
1195,445,2,64,6067,8,1165.36413526535
1195,445,2,64,6067,16,1161.20661973953
1195,445,2,64,6067,16,1160.72491550446
1195,445,2,32,12133,2,2517.1352481842
1195,445,2,32,12133,2,2518.29381728172
1195,445,2,32,12133,4,1661.40507507324
1195,445,2,32,12133,4,1661.49629735947
1195,445,2,32,12133,8,1636.32769370079
1195,445,2,32,12133,8,1636.69759011269
1195,445,2,32,12133,16,1630.84279203415
1195,445,2,32,12133,16,1630.50032758713
1195,445,2,16,24265,2,2946.57385110855
1195,445,2,16,24265,2,2948.28809976578
1195,445,2,16,24265,4,2881.78096079826
1195,445,2,16,24265,4,2882.62038326263
1195,445,2,16,24265,8,2861.0850777626
1195,445,2,16,24265,8,2859.81433010101
1195,445,2,16,24265,16,2852.67599463463
1195,445,2,16,24265,16,2851.40840601921
7365,216,1,1024,382,2,1593.80765533447
7365,216,1,1024,382,2,1705.87782716751
7365,216,1,1024,382,4,1019.52828836441
7365,216,1,1024,382,4,908.799962043762
7365,216,1,1024,382,6,644.417581796646
7365,216,1,1024,382,6,647.900347232819
7365,216,1,1024,382,8,559.087915182114
7365,216,1,1024,382,8,575.712187290192
7365,216,1,1024,382,12,551.052667856216
7365,216,1,1024,382,12,561.012676477432
7365,216,1,1024,382,16,554.388900756836
7365,216,1,1024,382,16,585.38090634346
7365,216,1,1024,382,20,591.501253128052
7365,216,1,1024,382,20,613.480369567871
7365,216,1,1024,382,24,659.84987783432
7365,216,1,1024,382,24,578.182997941971
7365,216,1,1024,382,32,647.120193719864
7365,216,1,1024,382,32,521.840687036514
7365,216,1,256,1519,2,1461.83948302269
7365,216,1,256,1519,2,1459.06494688988
7365,216,1,256,1519,4,772.054441452026
7365,216,1,256,1519,4,771.647456407547
7365,216,1,256,1519,6,546.49192905426
7365,216,1,256,1519,6,543.141478061676
7365,216,1,256,1519,8,438.227990150452
7365,216,1,256,1519,8,441.883096694946
7365,216,1,256,1519,12,433.005919933319
7365,216,1,256,1519,12,440.388493061066
7365,216,1,256,1519,16,446.082253694534
7365,216,1,256,1519,16,440.687705993652
7365,216,1,256,1519,20,446.181072950363
7365,216,1,256,1519,20,441.716398715973
7365,216,1,256,1519,24,438.145548343659
7365,216,1,256,1519,24,441.354951620102
7365,216,1,256,1519,32,448.834533214569
7365,216,1,256,1519,32,447.868406772614
7365,216,1,128,3034,2,1454.21016025543
7365,216,1,128,3034,2,1453.2478852272
7365,216,1,128,3034,4,762.434080600739
7365,216,1,128,3034,4,766.152292490006
7365,216,1,128,3034,6,535.133987903595
7365,216,1,128,3034,6,532.542544841766
7365,216,1,128,3034,8,504.12483549118
7365,216,1,128,3034,8,502.478450059891
7365,216,1,128,3034,12,499.897824287415
7365,216,1,128,3034,12,508.531504631042
7365,216,1,128,3034,16,498.546652555466
7365,216,1,128,3034,16,517.759269714356
7365,216,1,128,3034,20,501.459508180618
7365,216,1,128,3034,20,502.051645517349
7365,216,1,128,3034,24,505.309058666229
7365,216,1,128,3034,24,503.611383199692
7365,216,1,128,3034,32,510.784740924835
7365,216,1,128,3034,32,510.131305217743
7365,216,1,512,760,2,1497.83309912682
7365,216,1,512,760,2,1495.21561980248
7365,216,1,512,760,4,821.364691257477
7365,216,1,512,760,4,810.63732790947
7365,216,1,512,760,6,580.09580874443
7365,216,1,512,760,6,587.501180887222
7365,216,1,512,760,8,458.164567232132
7365,216,1,512,760,8,453.081835031509
7365,216,1,512,760,12,439.466248989105
7365,216,1,512,760,12,470.164612531662
7365,216,1,512,760,16,446.293924808502
7365,216,1,512,760,16,540.106244802475
7365,216,1,512,760,20,441.945673704147
7365,216,1,512,760,20,544.646052837372
7365,216,1,512,760,24,450.270998954773
7365,216,1,512,760,24,453.745265722275
7365,216,1,512,760,32,461.92343044281
7365,216,1,512,760,32,470.532364606857
7365,216,2,1024,128,2,531.03430724144
7365,216,2,1024,128,4,300.244912862778
7365,216,2,1024,128,8,188.451721429825
7365,216,2,1024,128,12,154.39542388916
7365,216,2,1024,128,16,161.591239690781
7365,216,2,512,254,2,506.707036972046
7365,216,2,512,254,4,280.151453733444
7365,216,2,512,254,8,165.613270521164
7365,216,2,512,254,12,135.189581632614
7365,216,2,512,254,16,132.083025455475
7365,216,2,256,507,2,505.546077489853
7365,216,2,256,507,4,271.500799417496
7365,216,2,256,507,8,156.173059940338
7365,216,2,256,507,12,125.170027017593
7365,216,2,256,507,16,125.459528923035
7365,216,2,128,1012,2,506.597726583481
7365,216,2,128,1012,4,269.732533931732
7365,216,2,128,1012,8,154.045941591263
7365,216,2,128,1012,12,133.545090675354
7365,216,2,128,1012,16,134.737346887589
1195,445,2,128,3034,2,2427.75206160545
1195,445,2,128,3034,2,2419.86342406273
1195,445,2,128,3034,4,1315.07282137871
1195,445,2,128,3034,4,1317.70714592934
1195,445,2,128,3034,8,900.187538385391
1195,445,2,128,3034,8,898.432923316956
1195,445,2,128,3034,16,895.118156433106
1195,445,2,128,3034,16,896.231791496277
1195,445,2,64,6067,2,2414.7951772213
1195,445,2,64,6067,2,2419.40134549141
1195,445,2,64,6067,4,1325.12608122826
1195,445,2,64,6067,4,1323.78551363945
1195,445,2,64,6067,8,1165.85423612595
1195,445,2,64,6067,8,1163.38690423965
1195,445,2,64,6067,16,1161.2537252903
1195,445,2,64,6067,16,1162.58520770073
1195,445,2,32,12133,2,2434.79034495354
1195,445,2,32,12133,2,2428.18650865555
1195,445,2,32,12133,4,1660.32078504562
1195,445,2,32,12133,4,1660.57248282433
1195,445,2,32,12133,8,1636.73063540459
1195,445,2,32,12133,8,1635.58633875847
1195,445,2,32,12133,16,1630.07931828499
1195,445,2,32,12133,16,1629.72477912903
1195,445,2,16,24265,2,2943.44597172737
1195,445,2,16,24265,2,2942.46309399605
1195,445,2,16,24265,4,2884.01533317566
1195,445,2,16,24265,4,2884.14203119278
1195,445,2,16,24265,8,2856.53223752975
1195,445,2,16,24265,8,2856.52305436134
1195,445,2,16,24265,16,2856.11040496826
1195,445,2,16,24265,16,2855.38760185242
1195,445,1,128,3034,2,2519.36645817757
1195,445,1,128,3034,2,2529.63683032989
1195,445,1,128,3034,4,1725.68308210373
1195,445,1,128,3034,4,1726.25621008873
1195,445,1,128,3034,8,1704.20714187622
1195,445,1,128,3034,8,1704.62492585182
1195,445,1,128,3034,16,1703.19866514206
1195,445,1,128,3034,16,1706.46569466591
1195,445,1,64,6067,2,2513.10255169869
1195,445,1,64,6067,2,2522.54416036606
1195,445,1,64,6067,4,1638.06940603256
1195,445,1,64,6067,4,1639.78799724579
1195,445,1,64,6067,8,1613.64982485771
1195,445,1,64,6067,8,1611.65492963791
1195,445,1,64,6067,16,1607.55854821205
1195,445,1,64,6067,16,1609.65186715126
1195,445,1,32,12133,2,2533.16046333313
1195,445,1,32,12133,2,2530.3355653286
1195,445,1,32,12133,4,2105.42384171486
1195,445,1,32,12133,4,2104.82043814659
1195,445,1,32,12133,8,2077.88551044464
1195,445,1,32,12133,8,2078.25132346153
1195,445,1,32,12133,16,2075.31268334389
1195,445,1,32,12133,16,2075.36584210396
1195,445,1,16,24265,2,3184.02411413193
1195,445,1,16,24265,2,3185.8234038353
1195,445,1,16,24265,4,3133.47911453247
1195,445,1,16,24265,4,3129.88920474052
1195,445,1,16,24265,8,3107.58738732338
1195,445,1,16,24265,8,3108.33001041412
1195,445,1,16,24265,16,3097.84518170357
1195,445,1,16,24265,16,3097.47110724449
1195,445,1,128,1012,2,855.981487035751
1195,445,1,128,1012,2,856.99457359314
1195,445,1,128,1012,4,518.770277738571
1195,445,1,128,1012,4,519.442648172378
1195,445,1,128,1012,8,511.771808862686
1195,445,1,128,1012,8,511.204049825668
1195,445,1,128,1012,16,511.299154520035
1195,445,1,128,1012,16,511.652323007584
1195,445,1,64,2023,2,844.966499805451
1195,445,1,64,2023,2,849.814685344696
1195,445,1,64,2023,4,550.678551197052
1195,445,1,64,2023,4,551.245548009872
1195,445,1,64,2023,8,542.857356309891
1195,445,1,64,2023,8,542.564546823502
1195,445,1,64,2023,16,542.408480405808
1195,445,1,64,2023,16,541.50580573082
1195,445,1,32,4045,2,848.710932731628
1195,445,1,32,4045,2,850.192076206207
1195,445,1,32,4045,4,707.055256128311
1195,445,1,32,4045,4,704.46093249321
1195,445,1,32,4045,8,696.804014444351
1195,445,1,32,4045,8,697.220947980881
1195,445,1,32,4045,16,695.136634349823
1195,445,1,32,4045,16,695.258937120438
1195,445,1,16,8089,2,1063.73345136642
1195,445,1,16,8089,2,1063.65386962891
1195,445,1,16,8089,4,1046.43916487694
1195,445,1,16,8089,4,1045.87579345703
1195,445,1,16,8089,8,1036.15685009956
1195,445,1,16,8089,8,1038.56668996811
1195,445,1,16,8089,16,1035.78275370598
1195,445,1,16,8089,16,1036.58996248245
7365,216,4,1024,128,2,594.023974895477
7365,216,4,1024,128,2,590.776992559433
7365,216,4,1024,128,2,595.47752404213
7365,216,4,1024,128,2,595.225343704224
7365,216,4,1024,128,4,346.248403072357
7365,216,4,1024,128,4,347.219839811325
7365,216,4,1024,128,4,356.161761760712
7365,216,4,1024,128,4,349.349817752838
7365,216,4,1024,128,8,225.545783042908
7365,216,4,1024,128,8,252.648540258408
7365,216,4,1024,128,8,220.997313022614
7365,216,4,1024,128,8,225.57889175415
7365,216,4,1024,128,16,173.915249824524
7365,216,4,1024,128,16,173.58803153038
7365,216,4,1024,128,16,178.061746358871
7365,216,4,1024,128,16,171.590283155441
1195,445,2,128,1012,2,850.665582418442
1195,445,2,128,1012,4,452.358819961548
1195,445,2,128,1012,8,306.823606967926
1195,445,2,128,1012,16,306.811356782913
1195,445,2,64,2023,2,847.326346158981
1195,445,2,64,2023,4,452.80237698555
1195,445,2,64,2023,8,394.93856215477
1195,445,2,64,2023,16,393.902981996536
1195,445,2,32,4045,2,850.763602495194
1195,445,2,32,4045,4,559.276861429214
1195,445,2,32,4045,8,550.638267278671
1195,445,2,32,4045,16,548.709884405136
1195,445,2,16,8089,2,986.923782348633
1195,445,2,16,8089,4,966.200646400452
1195,445,2,16,8089,8,957.341426610947
1195,445,2,16,8089,16,955.144114255905
7365,384,3,1024,128,2,981.338273525238
7365,384,3,1024,128,2,969.700140237808
7365,384,3,1024,128,4,544.120041847229
7365,384,3,1024,128,4,541.756281375885
7365,384,3,1024,128,8,324.154612064362
7365,384,3,1024,128,8,339.815540552139
7365,384,3,1024,128,12,262.430238485336
7365,384,3,1024,128,12,267.783001422882
7365,384,3,1024,128,16,237.084871292114
7365,384,3,1024,128,16,243.704402208328
7365,384,3,512,254,2,943.548784255981
7365,384,3,512,254,2,946.883266448975
7365,384,3,512,254,4,517.456589698792
7365,384,3,512,254,4,510.255649805069
7365,384,3,512,254,8,301.968292474747
7365,384,3,512,254,8,311.215459108353
7365,384,3,512,254,12,233.213252544403
7365,384,3,512,254,12,230.454056739807
7365,384,3,512,254,16,201.389456510544
7365,384,3,512,254,16,196.92146897316
7365,384,3,256,507,2,927.523354530334
7365,384,3,256,507,2,927.507645368576
7365,384,3,256,507,4,487.128327131271
7365,384,3,256,507,4,490.800415277481
7365,384,3,256,507,8,278.649695396423
7365,384,3,256,507,8,282.410688400268
7365,384,3,256,507,12,213.665674686432
7365,384,3,256,507,12,214.26528096199
7365,384,3,256,507,16,181.359527826309
7365,384,3,256,507,16,184.287423849106
7365,384,3,128,1012,2,924.605558395386
7365,384,3,128,1012,2,924.85929608345
7365,384,3,128,1012,4,489.931506633759
7365,384,3,128,1012,4,488.730406999588
7365,384,3,128,1012,8,277.968002557755
7365,384,3,128,1012,8,279.191950321198
7365,384,3,128,1012,12,211.059435606003
7365,384,3,128,1012,12,209.911128759384
7365,384,3,128,1012,16,176.763539552689
7365,384,3,128,1012,16,176.935410261154
7365,384,3,1024,382,2,2742.41496920586
7365,384,3,1024,382,2,2759.76209139824
7365,384,3,1024,382,4,1447.77834534645
7365,384,3,1024,382,4,1446.7330186367
7365,384,3,1024,382,8,819.407929897308
7365,384,3,1024,382,8,806.528238773346
7365,384,3,1024,382,12,624.942452192307
7365,384,3,1024,382,12,619.609400510788
7365,384,3,1024,382,16,563.999309062958
7365,384,3,1024,382,16,530.340473890305
7365,384,3,512,760,2,2703.35237145424
7365,384,3,512,760,2,2700.43470311165
7365,384,3,512,760,4,1418.43074154854
7365,384,3,512,760,4,1406.63326191902
7365,384,3,512,760,8,762.55301117897
7365,384,3,512,760,8,769.519725561142
7365,384,3,512,760,12,550.994840145111
7365,384,3,512,760,12,548.021514892578
7365,384,3,512,760,16,459.914580821991
7365,384,3,512,760,16,462.342109203339
7365,384,3,256,1519,2,2660.70082640648
7365,384,3,256,1519,2,2658.29184126854
7365,384,3,256,1519,4,1363.383477211
7365,384,3,256,1519,4,1357.13270735741
7365,384,3,256,1519,8,725.467850446701
7365,384,3,256,1519,8,737.342744827271
7365,384,3,256,1519,12,524.551315784454
7365,384,3,256,1519,12,532.925736427307
7365,384,3,256,1519,16,424.001913070679
7365,384,3,256,1519,16,420.971779823303
7365,384,3,128,3034,2,2656.1684191227
7365,384,3,128,3034,2,2654.18312931061
7365,384,3,128,3034,4,1357.94570732117
7365,384,3,128,3034,4,1362.75496459007
7365,384,3,128,3034,8,722.136453866959
7365,384,3,128,3034,8,727.372023820877
7365,384,3,128,3034,12,520.673293113709
7365,384,3,128,3034,12,512.65148973465
7365,384,3,128,3034,16,421.496508598328
7365,384,3,128,3034,16,411.702128171921
7365,384,1,256,507,4,434.301092624664
7365,384,1,256,507,4,435.049863815308
7365,384,3,1024,128,16,241.279024124145
7365,384,3,1024,128,16,229.806173324585
7365,384,4,1024,128,16,223.471822023392
7365,384,4,1024,128,16,234.168510437012
7365,384,4,1024,128,16,227.94118642807
7365,384,4,1024,128,16,223.170526742935
7365,384,2,1024,128,2,957.547648191452
7365,384,3,1024,128,2,967.910794258118
7365,384,4,1024,128,2,974.444415569305
7365,384,4,1024,128,2,972.750052928925
7365,216,2,1024,128,2,571.555376768112
7365,216,3,1024,128,2,584.195630550385
7365,216,4,1024,128,2,582.917268753052
7365,216,4,1024,128,2,583.295059204102
7365,216,3,1024,382,2,1660.79162931442
7365,216,3,1024,382,2,1662.68463897705
7365,216,3,1024,382,4,936.026507854462
